"Category","Tag","Rank","Profile","Wall_ID","Following","Followers"
"brands","services","1","Hotel Urbano","105521993782675809241","4710","417705"
"brands","services","2","Zazcar","109436259810146984751","4001","257889"
"brands","services","3","CI Intercâmbio","104729727593201656305","17","248781"
"brands","services","4","Google Developers","111395306401981598462","355","231169"
"brands","services","5","LDLC.com","104301983842916548085","36","36621"
"brands","services","6","bijin-tokei","117890927653055478268","4356","11900"
"brands","services","7","Hannes Schleeh","108102489999609775609","753","9897"
"brands","services","8","Rackspace","100698655987920162334","19","8848"
"brands","services","9","The Definitive Guides To Google+","101701744228082676193","4192","8283"
"brands","services","10","schwindt-pr","110312168010953903557","2809","4858"
"brands","services","11","HKTDC 香港貿發局","106601792538852254829","2132","2208"
"brands","services","12","Salesforce Buddy Media","101123952296891564774","72","1358"
"brands","services","13","Socialbakers.com","115396124004851082723","9","1159"
"brands","services","14","hobbynote","117352299940869025642","20","685"
"brands","services","15","Social Upgrade","107443706441605018664","88","647"
"brands","services","16","Südtirol Touristik Info","115597719515027599725","305","505"
"brands","services","17","Datacentrum WEDOS","103221313212683920526","","504"
"brands","services","18","Red Hat Czech","113358324864673318624","5","464"
"brands","services","19","Hostpoint","107115890006338979659","296","456"
"brands","services","20","Best Relations","100443101116430345792","346","434"
"brands","services","21","Storm Model Management","118401613528931495818","38","387"
"brands","services","22","Social Media NZ","112138046820805727020","60","340"
"brands","services","23","Social Media Bali","104667131949036660104","","328"
"brands","services","24","Monster.fi - Avoimet työpaikat","107706978235805021908","259","309"
"brands","services","25","Avis Rent a Car South Africa","104990115774244994212","106","242"
"brands","services","26","Your Future at Deloitte New Zealand","115655215701126077908","86","160"
"brands","services","27","iProspect Finland","107792139176627335449","56","149"
"brands","services","28","hairyLemon digital agency","115300622055873706162","94","109"
"brands","services","29","Socialdoe.com","100106441708438617680","","106"
"brands","services","30","Heuvel Marketing","108883656790918558093","234","102"
"brands","services","31","business.govt.nz","108505960968024382423","24","100"
"brands","services","32","PwC New Zealand","108966178495135260832","83","97"
